[provider] zai-captcha-provider (JSDOM/execFile) listening on http://127.0.0.1:9876
[provider] captcha token pool: 5, TTL: 240000ms (老路径 /token，按需启用)
[chat-proxy] warming 2 JSDOM windows...
[chat-proxy] window pool ready
[chat-proxy][onprogress +856ms] +194 bytes
[chat-proxy] /v1_chat done in 9613ms, upstream status=200
[chat-proxy][onprogress +2540ms] +90 bytes
[chat-proxy][onprogress +67ms] +92 bytes
[chat-proxy][onprogress +125ms] +88 bytes
[chat-proxy][onprogress +1ms] +91 bytes
[chat-proxy][onprogress +139ms] +90 bytes
[chat-proxy][onprogress +0ms] +91 bytes
[chat-proxy][onprogress +30ms] +87 bytes
[chat-proxy][onprogress +20ms] +90 bytes
[chat-proxy][onprogress +122ms] +91 bytes
[chat-proxy][onprogress +1ms] +91 bytes
[chat-proxy][onprogress +95ms] +93 bytes
[chat-proxy][onprogress +295ms] +90 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +1ms] +92 bytes
[chat-proxy][onprogress +110ms] +88 bytes
[chat-proxy][onprogress +80ms] +88 bytes
[chat-proxy][onprogress +43ms] +88 bytes
[chat-proxy][onprogress +54ms] +92 bytes
[chat-proxy][onprogress +103ms] +88 bytes
[chat-proxy][onprogress +90ms] +87 bytes
[chat-proxy][onprogress +58ms] +89 bytes
[chat-proxy][onprogress +180ms] +93 bytes
[chat-proxy][onprogress +305ms] +89 bytes
[chat-proxy][onprogress +1ms] +92 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +0ms] +91 bytes
[chat-proxy][onprogress +34ms] +91 bytes
[chat-proxy][onprogress +39ms] +90 bytes
[chat-proxy][onprogress +116ms] +87 bytes
[chat-proxy][onprogress +100ms] +88 bytes
[chat-proxy][onprogress +46ms] +90 bytes
[chat-proxy][onprogress +169ms] +88 bytes
[chat-proxy][onprogress +249ms] +88 bytes
[chat-proxy][onprogress +1ms] +89 bytes
[chat-proxy][onprogress +479ms] +89 bytes
[chat-proxy][onprogress +0ms] +90 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +1ms] +90 bytes
[chat-proxy][onprogress +261ms] +89 bytes
[chat-proxy][onprogress +1ms] +90 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +626ms] +87 bytes
[chat-proxy][onprogress +1ms] +93 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +1ms] +92 bytes
[chat-proxy][onprogress +0ms] +172 bytes
[chat-proxy][onprogress +0ms] +86 bytes
[chat-proxy][onprogress +1ms] +86 bytes
[chat-proxy][onprogress +0ms] +86 bytes
[chat-proxy][onprogress +1ms] +86 bytes
[chat-proxy][onprogress +53ms] +86 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +88ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +111ms] +89 bytes
[chat-proxy][onprogress +1ms] +92 bytes
[chat-proxy][onprogress +149ms] +174 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +107ms] +88 bytes
[chat-proxy][onprogress +104ms] +87 bytes
[chat-proxy][onprogress +86ms] +175 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +126ms] +88 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +61ms] +87 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +72ms] +87 bytes
[chat-proxy][onprogress +88ms] +87 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +89ms] +87 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +87ms] +87 bytes
[chat-proxy][onprogress +53ms] +88 bytes
[chat-proxy][onprogress +50ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +90ms] +90 bytes
[chat-proxy][onprogress +50ms] +88 bytes
[chat-proxy][onprogress +58ms] +87 bytes
[chat-proxy][onprogress +270ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +35ms] +88 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +55ms] +87 bytes
[chat-proxy][onprogress +56ms] +87 bytes
[chat-proxy][onprogress +66ms] +87 bytes
[chat-proxy][onprogress +1053ms] +88 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +156ms] +1140 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +41ms] +87 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +47ms] +88 bytes
[chat-proxy][onprogress +90ms] +87 bytes
[chat-proxy][onprogress +2ms] +92 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +57ms] +88 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +33ms] +91 bytes
[chat-proxy][onprogress +85ms] +88 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +109ms] +88 bytes
[chat-proxy][onprogress +1ms] +90 bytes
[chat-proxy][onprogress +0ms] +88 bytes
[chat-proxy][onprogress +94ms] +88 bytes
[chat-proxy][onprogress +49ms] +88 bytes
[chat-proxy][onprogress +37ms] +90 bytes
[chat-proxy][onprogress +47ms] +88 bytes
[chat-proxy][onprogress +80ms] +88 bytes
[chat-proxy][onprogress +41ms] +91 bytes
[chat-proxy][onprogress +1ms] +88 bytes
[chat-proxy][onprogress +64ms] +88 bytes
[chat-proxy][onprogress +52ms] +88 bytes
[chat-proxy][onprogress +44ms] +90 bytes
[chat-proxy][onprogress +69ms] +88 bytes
[chat-proxy][onprogress +40ms] +88 bytes
[chat-proxy][onprogress +46ms] +88 bytes
[chat-proxy][onprogress +0ms] +95 bytes
[chat-proxy][onprogress +99ms] +88 bytes
[chat-proxy][onprogress +341ms] +88 bytes
[chat-proxy][onprogress +22ms] +89 bytes
[chat-proxy][onprogress +20ms] +88 bytes
[chat-proxy][onprogress +45ms] +90 bytes
[chat-proxy][onprogress +1ms] +91 bytes
[chat-proxy][onprogress +38ms] +90 bytes
[chat-proxy][onprogress +105ms] +89 bytes
[chat-proxy][onprogress +60ms] +93 bytes
[chat-proxy][onprogress +26ms] +89 bytes
[chat-proxy][onprogress +161ms] +92 bytes
[chat-proxy][onprogress +8ms] +91 bytes
[chat-proxy][onprogress +20ms] +87 bytes
[chat-proxy][onprogress +29ms] +88 bytes
[chat-proxy][onprogress +56ms] +90 bytes
[chat-proxy][onprogress +47ms] +88 bytes
[chat-proxy][onprogress +133ms] +88 bytes
[chat-proxy][onprogress +121ms] +87 bytes
[chat-proxy][onprogress +5ms] +86 bytes
[chat-proxy][onprogress +859ms] +176 bytes
[chat-proxy][onprogress +9ms] +89 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +15ms] +92 bytes
[chat-proxy][onprogress +2ms] +92 bytes
[chat-proxy][onprogress +18ms] +90 bytes
[chat-proxy][onprogress +23ms] +92 bytes
[chat-proxy][onprogress +1ms] +89 bytes
[chat-proxy][onprogress +14ms] +94 bytes
[chat-proxy][onprogress +7ms] +90 bytes
[chat-proxy][onprogress +33ms] +90 bytes
[chat-proxy][onprogress +50ms] +178 bytes
[chat-proxy][onprogress +48ms] +89 bytes
[chat-proxy][onprogress +50ms] +91 bytes
[chat-proxy][onprogress +50ms] +88 bytes
[chat-proxy][onprogress +42ms] +91 bytes
[chat-proxy][onprogress +49ms] +87 bytes
[chat-proxy][onprogress +45ms] +87 bytes
[chat-proxy][onprogress +51ms] +86 bytes
[chat-proxy][onprogress +57ms] +93 bytes
[chat-proxy][onprogress +46ms] +88 bytes
[chat-proxy][onprogress +52ms] +89 bytes
[chat-proxy][onprogress +48ms] +92 bytes
[chat-proxy][onprogress +43ms] +87 bytes
[chat-proxy][onprogress +57ms] +89 bytes
[chat-proxy][onprogress +55ms] +182 bytes
[chat-proxy][onprogress +147ms] +91 bytes
[chat-proxy][onprogress +22ms] +92 bytes
[chat-proxy][onprogress +156ms] +177 bytes
[chat-proxy][onprogress +140ms] +88 bytes
[chat-proxy][onprogress +42ms] +89 bytes
[chat-proxy][onprogress +116ms] +91 bytes
[chat-proxy][onprogress +30ms] +87 bytes
[chat-proxy][onprogress +55ms] +90 bytes
[chat-proxy][onprogress +99ms] +89 bytes
[chat-proxy][onprogress +102ms] +91 bytes
[chat-proxy][onprogress +43ms] +90 bytes
[chat-proxy][onprogress +100ms] +91 bytes
[chat-proxy][onprogress +106ms] +92 bytes
[chat-proxy][onprogress +59ms] +89 bytes
[chat-proxy][onprogress +297ms] +90 bytes
[chat-proxy][onprogress +14ms] +88 bytes
[chat-proxy][onprogress +19ms] +89 bytes
[chat-proxy][onprogress +10ms] +89 bytes
[chat-proxy][onprogress +24ms] +87 bytes
[chat-proxy][onprogress +0ms] +85 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +36ms] +88 bytes
[chat-proxy][onprogress +47ms] +86 bytes
[chat-proxy][onprogress +42ms] +84 bytes
[chat-proxy][onprogress +630ms] +84 bytes
[chat-proxy][onprogress +9ms] +84 bytes
[chat-proxy][onprogress +0ms] +87 bytes
[chat-proxy][onprogress +50ms] +87 bytes
[chat-proxy][onprogress +1ms] +87 bytes
[chat-proxy][onprogress +23ms] +87 bytes
[chat-proxy][onprogress +1ms] +177 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +103ms] +160 bytes
[chat-proxy][onprogress +12ms] +70 bytes
[chat-proxy] /v1_chat done in 22282ms, upstream status=200
[chat-proxy][onprogress +823ms] +194 bytes
[chat-proxy] /v1_chat done in 5692ms, upstream status=200
[chat-proxy][onprogress +3830ms] +89 bytes
[chat-proxy][onprogress +1ms] +93 bytes
[chat-proxy][onprogress +4ms] +91 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +0ms] +91 bytes
[chat-proxy][onprogress +41ms] +181 bytes
[chat-proxy][onprogress +8ms] +92 bytes
[chat-proxy][onprogress +0ms] +89 bytes
[chat-proxy][onprogress +28ms] +273 bytes
[chat-proxy][onprogress +67ms] +89 bytes
[chat-proxy][onprogress +16ms] +94 bytes
[chat-proxy][onprogress +492ms] +87 bytes
[chat-proxy][onprogress +144ms] +89 bytes
[chat-proxy][onprogress +87ms] +93 bytes
[chat-proxy][onprogress +173ms] +88 bytes
[chat-proxy][onprogress +184ms] +88 bytes
[chat-proxy][onprogress +71ms] +89 bytes
[chat-proxy][onprogress +85ms] +91 bytes
[chat-proxy][onprogress +168ms] +88 bytes
[chat-proxy][onprogress +146ms] +87 bytes
[chat-proxy][onprogress +81ms] +90 bytes
[chat-proxy][onprogress +403ms] +90 bytes
[chat-proxy][onprogress +9ms] +88 bytes
